,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Falkland Islands,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela
1970,21,1,6,0,1,0,0,0,0,1,0,0,33,2
1971,7,2,3,0,0,0,0,0,0,0,0,0,8,4
1972,15,0,1,0,2,0,0,0,0,0,0,0,1,1
1973,60,0,2,7,6,3,0,0,0,0,3,0,0,4
1974,71,1,0,0,0,3,0,0,0,0,3,0,0,3
1975,38,0,0,0,10,0,0,0,0,0,2,0,0,5
1976,54,1,5,2,22,2,0,0,0,1,0,0,0,4
1977,17,1,1,6,80,7,0,0,0,0,4,0,0,3
1978,25,3,5,8,158,11,0,0,1,0,4,0,0,7
1979,16,14,6,49,140,2,0,0,2,0,3,0,0,4
1980,6,35,19,41,141,2,0,0,1,2,64,0,0,8
1981,2,5,11,34,172,2,0,0,1,0,149,0,0,7
1982,9,27,4,21,222,3,0,0,0,0,350,1,0,2
1983,18,27,8,106,234,10,1,3,0,0,536,1,0,6
1984,46,14,5,563,237,24,0,0,0,2,592,1,4,4
1985,43,13,1,232,382,12,0,0,0,1,352,0,2,2
1986,33,4,3,243,307,8,0,0,0,0,568,8,2,8
1987,80,14,1,173,337,6,0,0,0,1,627,13,0,13
1988,33,11,2,185,427,9,0,0,0,0,355,9,0,10
1989,32,40,5,146,492,14,0,0,0,0,630,17,1,8
1990,31,11,7,161,349,8,0,0,5,0,495,7,1,1
1991,27,28,24,127,420,17,0,0,0,0,658,1,3,17
1992,41,38,24,116,523,23,0,0,4,4,383,5,11,32
1993,0,0,19,0,0,0,0,0,0,0,0,0,0,0
1994,14,8,23,15,201,6,0,0,0,2,91,1,4,12
1995,16,2,0,17,123,6,0,0,0,12,44,0,1,11
1996,19,1,18,8,409,5,0,2,0,0,42,0,1,12
1997,11,4,39,6,598,4,0,2,1,6,58,2,2,41
1998,0,0,2,1,94,3,0,0,2,0,5,0,0,1
1999,1,0,1,3,116,2,0,0,0,1,5,0,0,5
2000,0,0,2,2,137,4,0,0,0,2,3,0,0,0
2001,2,0,3,3,207,5,0,0,1,0,3,0,0,5
2002,0,0,1,1,150,2,0,0,1,0,2,0,0,5
2003,1,1,1,2,98,4,0,0,1,0,1,0,0,8
2004,0,0,0,0,37,2,0,0,0,0,3,0,0,0
2005,3,1,0,0,42,0,0,0,0,0,2,0,1,0
2006,0,0,3,1,43,0,0,0,2,0,1,0,0,0
2007,0,3,0,8,30,0,0,0,0,0,4,0,0,2
2008,0,0,0,4,133,2,0,0,3,0,1,0,0,1
2009,1,3,0,8,139,1,0,0,0,0,4,0,0,3
2010,5,0,0,5,136,0,0,0,0,2,0,0,0,0
2011,1,0,0,6,94,1,0,0,0,4,0,0,0,0
2012,2,1,1,2,115,1,0,0,0,4,6,0,0,1
2013,2,0,3,4,148,2,0,0,0,10,10,0,0,0
2014,0,0,3,17,230,0,0,0,0,15,12,0,0,4
2015,1,0,5,1,135,1,0,0,0,19,10,0,0,3
